United Arab Emirates,Dirhams,AED,4.9685
Australia,Dollars,AUD,1.8925
Bosnia and Herzegovina,Convertible Marka,BAM,2.3296
Bulgaria,Leva,BGN,2.60948
United States,Dollar,USD,1.3533
Canada,Dollar,CAD,1.7244
India,Rupee,INR,101.77
Singapore,Dollar,SGD,1.8196
